Detector,Descriptor,Frame index,TTC lidar,TTC camera,TTC difference
SIFT,BRIEF,3,14.091,15.0724,0.981378,
SIFT,BRIEF,4,16.6894,21.3087,4.61931,
SIFT,BRIEF,5,15.9082,13.5982,-2.31005,
SIFT,BRIEF,6,12.6787,12.5451,-0.133622,
SIFT,BRIEF,7,11.9844,14.581,2.59669,
SIFT,BRIEF,8,13.1241,15.2576,2.13349,
SIFT,BRIEF,9,13.0241,13.0439,0.0197426,
SIFT,BRIEF,10,11.1746,10.3097,-0.8649,
SIFT,BRIEF,11,12.8086,13.0465,0.237912,
SIFT,BRIEF,12,8.95978,9.86398,0.9042,
SIFT,BRIEF,13,9.96439,10.1282,0.163821,
SIFT,BRIEF,14,9.59863,9.26794,-0.330689,
SIFT,BRIEF,15,8.57352,9.99465,1.42112,
SIFT,BRIEF,16,9.51617,9.06852,-0.447655,
SIFT,BRIEF,17,9.54658,8.85941,-0.687171,
SIFT,BRIEF,18,8.3988,9.23255,0.833749,
SIFT,FREAK,1,12.5156,11.3067,-1.20886,
SIFT,FREAK,2,12.6142,13.8331,1.2189,
SIFT,FREAK,3,14.091,13.6139,-0.47714,
SIFT,FREAK,4,16.6894,21.1717,4.48235,
SIFT,FREAK,5,15.9082,13.5635,-2.34471,
SIFT,FREAK,6,12.6787,12.2414,-0.43731,
SIFT,FREAK,7,11.9844,14.8171,2.83272,
SIFT,FREAK,8,13.1241,15.2346,2.11046,
SIFT,FREAK,9,13.0241,14.3898,1.36572,
SIFT,FREAK,10,11.1746,11.5719,0.397258,
SIFT,FREAK,11,12.8086,12.0598,-0.748763,
SIFT,FREAK,12,8.95978,10.093,1.13325,
SIFT,FREAK,13,9.96439,10.2522,0.28776,
SIFT,FREAK,14,9.59863,9.89583,0.297201,
SIFT,FREAK,15,8.57352,9.19704,0.623517,
SIFT,FREAK,16,9.51617,9.49775,-0.0184195,
SIFT,FREAK,17,9.54658,9.12142,-0.425164,
SIFT,FREAK,18,8.3988,9.9319,1.5331,
SIFT,SIFT,1,12.5156,11.9768,-0.538759,
SIFT,SIFT,2,12.6142,12.5605,-0.053725,
SIFT,SIFT,3,14.091,13.1746,-0.916412,
SIFT,SIFT,4,16.6894,19.6442,2.95483,
SIFT,SIFT,5,15.9082,15.27,-0.638208,
SIFT,SIFT,6,12.6787,11.1137,-1.56502,
SIFT,SIFT,7,11.9844,13.9085,1.92418,
SIFT,SIFT,8,13.1241,15.6297,2.50562,
SIFT,SIFT,9,13.0241,15.0375,2.01336,
SIFT,SIFT,10,11.1746,10.5588,-0.615799,
SIFT,SIFT,11,12.8086,11.71,-1.09865,
SIFT,SIFT,12,8.95978,11.6294,2.6696,
SIFT,SIFT,13,9.96439,9.24576,-0.718626,
SIFT,SIFT,14,9.59863,10.6436,1.04495,
SIFT,SIFT,15,8.57352,10.4383,1.86478,
SIFT,SIFT,16,9.51617,9.57951,0.0633375,
SIFT,SIFT,17,9.54658,8.87285,-0.673731,
SIFT,SIFT,18,8.3988,8.99715,0.598346,
